what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1379993109925
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1379993109962
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993114474
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1379993114482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993121379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993130461
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1379993130571
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1379993130639
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1379993135555
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1379993138380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993150463
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993150569
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1379993152511
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1379993155415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1379993157885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993159999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993168553
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1379993168559
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993170723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993180622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1379993180630
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1379993211736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993237568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993237689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993246583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993246727
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1379993249743
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1379993258953
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1379993262257
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1379993262688
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1379993262898
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1379993264265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1379993271921
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1379993279172
started,bundle,runjettyrun.jetty8,1.3.3.201203161919,"runjettyrun.jetty8",1379993280765
started,bundle,runjettyrun,1.3.3.201203161919,"runjettyrun",1379993280812
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.debug",1379993282712
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993282763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993286594
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1379993287085
opened,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1379993287283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379993287704
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1379993287731
